ID	Tag	DataType	Name	Description	RpgId
11	CLN0010	0	Famille Impériale	Les familles Impériales ont juré fidélité à la lignée impériale et chacun de leurs actes vise à garantir le fonctionnement de l'Empire. Les Miya parcourent le pays en tant  que hérauts de l'Empereur, s'assurant de faire connaître ses décrets à tous. Les Seppun forment les boucliers de l'Empire et servent de gardes du corps ou de guerriers dans les légions Impériales. Les Otomo sont les cerveaux politiques de la cour et leurs manipulations diaboliques des clans majeurs servent le bien-être général. Ayant accès aux meilleurs professeurs, à des fonds illimités et à un statut très élevé, les familles Impériales sont les nobles d'élite de Rokugan.	1
12	CLN0011	0	Clan du Blaireau	Le fondateur du clan du Blaireau était un puissant guerrier du clan du Crabe qui prouva son mérite lors d'une épreuve de force menée devant l'Empereur en personne. Les descendants du premier Blaireau vivent sur la frontière septentrionale de Rokugan et se chargent de protéger l'Empire des invasions étrangères. Les Blaireau tiennent clairement de leurs cousins Crabe et embrassent la force au détriment de toute forme de raffinement, sans compter qu'ils n'acceptent pas la défaite, quelles que soient les circonstances.	1
13	CLN0012	0	Clan du Bœuf	Le samurai Morito fut chassé du clan de la Licorne pour avoir blessé l'un des précieux destriers Utaku. Il rallia à lui quelques partisans et leur enseigna les techniques qu'il avait acquises après des décennies passées sur les routes. Ce groupe hétéroclite de guerriers prouva son courage lors de la guerre des esprits et eut le droit de fonder le clan mineur du Bœuf pour services rendus. L'insidieux Kolat plongea toutefois ses racines au cœur du Bœuf dès sa naissance et se servit bien souvent de ses guerriers pour protéger le temple caché de la conspiration.	1
14	CLN0013	0	Clan de la Chauve-Souris	Dans les veines de Komori, le fondateur du clan de la chauve-souris, coulait le sang d'esprits chauve-souris de Chikushudo. Ce clan, très jeune puisque fondé sous le règne bref de l'Empereur Toturi III, n'a pas encore véritablement trouvé son identité. Les shugenja chauve-souris travaillent dur pour affiner leurs pouvoirs d'invocation qu'ils comptent bien mettre au service de l'Empire.	1
15	CLN0014	0	Clan du Faucon	Les Crabes tiennent bon face aux hordes de l'Outremonde, mais d'autres périls menacent Rokugan. Les guerriers du clan du Faucon se rangent aux côtés de leurs cousins Crabe pour vaincre les fantômes malveillants qui hantent le royaume des mortels. Leurs ennemis n'ont rien à voir avec les monstres de l'Outremonde bavant aux pieds de la grande muraille Kaiu, mais se trouvent plutôt parmi les spectres insidieux qui terrorisent le cœur du pays.	1
16	CLN0015	0	Clan de la Libellule	Les fondateurs de la Libellule s'attisèrent la colère du clan du Lion dès la création de leur Clan et en souffrent grandement depuis. Leur importance dépasse de loin leur population, pour la simple raison que tous ceux qui souhaitent se rendre sur les terres des Dragons doivent d'abord obtenir la permission auprès des Libellule. Leurs liens étroits avec le clan du Dragon et leur histoire tragique ont donné naissance à un peuple serein et robuste, prêt à faire face aux dangers que leur réserve l'avenir.	1
17	CLN0016	0	Clan du Lièvre	L'adepte du sang Iuchiban était un maho-tsukai d'une puissance incommensurable, un fou terrifiant qui bien souvent porta atteinte à la sécurité de l'Empire. Le ronin Reichin risqua héroïquement sa vie pour lutter contre l'achèvement de Iuchiban et eut le droit de fonder le clan du Lièvre. Ses descendants empruntent aujourd'hui encore cette voie, affrontant les adeptes du sang à la moindre occasion, sans oublier l'insidieuse conspiration du Kolat. Le clan a tout de même failli disparaître en plusieurs occasions et n'a dû sa survie qu'au dévouement qu'il met au service de sa cause.	1
18	CLN0017	0	Clan du Loriot	Les Empereurs créent bien souvent un clan mineur lorsque les exploits d'un simple guerrier les impressionnent. Le clan du Loriot finit par être fondé parce que les Tsi, une famille de ronin, faisaient preuve de fidélité à leurs préceptes. Son daimyo eut donc l'autorisation de former un clan mineur lorsqu'il créa l'épée de l'Empereur Vertueux pour la dynastie Toturi, une lame d'une qualité inégalée à ce jour.	1
19	CLN0018	0	Clan du Moineau	Le clan du moineau a été fondé dans la pauvreté et survit aujourd'hui encore sur les terres à peine fertiles qui déparent les provinces des Clans de la Grue et du Crabe. Son fondateur, un samouraï de la Grue, avait mené une vie faite de luxe avant son exil sur les terres du Moineau. Les difficultés alors rencontrées firent de lui un homme meilleur, une leçon qu'apprennent depuis tous les Suzume. Le Clan du Moineau n'a jamais grandi au fil des ans et n'a guère d'influence en dehors de ses frontières. Toutefois, il fait de son mieux pour observer les préceptes de compassion et de vertu, au point qu'il a rallié l'Alliance Tripartite lors de la Guerre des Clans pour protéger les siens des ravages du conflit.	1
20	CLN0019	0	Clan du Renard	Le clan du Renard fut le premier et peut-être le plus vieux des clans mineurs (bien que les Mante persistent à dire le contraire), tout simplement parce que ses origines remontent au clan de la Ki-Rin, avant son grand voyage par-delà les frontières de Rokugan. Le clan du Renard fut chassé des terres des Ki-Rin et finit par s'installer dans la paisible Kitsune Mori, où il se lia d'amitié avec des esprits renards et se découvrit un amour certain pour la beauté de la nature. Ce très modeste Clan Mineur ne dispose que de ressources limitées, mais il n'hésite jamais à prendre les armes pour une cause juste.	1
21	CLN0020	0	Clan du Sanglier	Le clan du Sanglier reçu pour terres les montagnes du crépuscule, sur la frontière septentrionale du clan du Crabe. Les montagnes du crépuscule, riches en fer et en jade, firent croire l'importance du petit clan mineur lorsque les samourai se mirent à exploiter les métaux précieux. Toutefois les montagnes se montrent dangereuses car agitées de tremblements de terre, sans compter les esprits fous, maho-tsukai aliénés et esprits malveillants Shakoki-Dogu qui s'en prennent bien souvent au clan du Sanglier.	1
22	CLN0021	0	Clan du Singe	Toku était un homme jovial bien déterminé à sauver l'Empire alors qu'une grave crise sévissait. Il prit place dans l'armée de Toturi, aux côtés de samourai rejetés par les clans majeurs, et servit loyalement la dynastie Toturi pendant plusieurs décennies, luttant pour rétablir la paix et protéger Rokugan des forces du mal. Son clan mineur défend aujourd'hui encore sa vision et abrite des magistrats en quête d'un Rokugan en paix.	1
23	CLN0022	0	Clan du Serpent	L'histoire du clan du serpent débute avec l'héroïsme et s'achève par une tragédie. Isawa Chuda gagna le droit de fonder son propre clan mineur lorsqu’il déjoua une attaque maho contre l'Empereur. Malheureusement, la créature malveillante du nom de Shuten Doji s'empara par la suite des terres des Serpent et fit de ces derniers de simples pantins obéissant à ses volontés. Le clan du Phénix éradiqua le clan du Serpent lors des Cinq Nuits de la Honte, mais les survivants prirent la fuite avec leurs connaissances en magie noire.	1
24	CLN0023	0	Clan de la Tortue	Fondé après la première rencontre très violente de l'Empire avec les gaijin, le clan de la Tortue compte quasiment parmi les familles Impériales, mais il reste à l'écart de celles-ci. La famille Kasuga a réalisé de véritables exploits pour l'Empereur et se dit prête à tout pour préserver le pouvoir du souverain. En bien des façons, les samourai du clan de la Tortue regroupent les hommes de main de l'Empereur et possèdent des accointances avec de nombreuses organisations criminelles du pays. Ils représentent les clans mineurs à la cour Impériale et se font l'écho de ceux qui n'ont pas de taille suffisante pour y maintenir une présence.	1
25	CLN0024	0	Confrérie de Shinsei	La confrérie de Shinsei se compose de moines et d'érudits bien décidés à sauver l'âme de l'Empire. Ils sont en quête de l'illumination, d'une compréhension parfaite du monde et de tout ce qui y vit. Chaque groupe de la Confrérie croit que sa méthode pour trouver l'illumination montre la meilleure voie, ce qui a donné à des centaines de techniques visant à apaiser l'esprit et à trouver l'équilibre. Rien ne fera changer d'avis la confrérie, car le plus célèbre adage de son fondateur précise que chaque homme doit suivre sa propre voie.	1
26	CLN0025	0	Clans Mineurs	Les Clans Mineurs sont nombreux et faibles.	1
27	FAM0001	1	Hida	Les descendants du kami Hida comptent parmi les samouraï les plus imposants physiquement de tout l'empire. Il leur incombe la lourde tâche de protéger l'Empire, si bien qu'ils font de redoutables guerriers et d'excellents tacticiens en matière de défense. Souvent, les samurai Hida s'offensent des autres clans qui jouissent de leur protection tout en raillant les Crabe pour leurs mauvaises manières.	1
28	FAM0002	1	Hiruma	Silencieux et mortels, les Hiruma forment les éclaireurs et yojimbo du Crabe. Leur agilité et leur grâce sont à l'image de la force des Hida, ce qui explique que les guerriers de ces deux familles se complètent merveilleusement. Souvent, les samurai Hiruma doivent partir en reconnaissance dans l'Outremonde, un devoir qui coûte la vie à nombre d'entre eux.	1
29	FAM0003	1	Kaiu	Travailleurs, les Kaiu ont créé la plupart des plus formidables merveilles d'ingénierie de l'empire. Ce sont des ingénieurs de siège et les architectes du clan du Crabe. Ils se chargent également de l'entretien du grand mur des Bâtisseurs et de ses défenses.	1
30	FAM0004	1	Kuni	Sinistres en apparence et en actes, les Kuni comptent parmi les familles de shugenja les plus craintes de l'empire. Il y a bien longtemps, les autorités de cette famille s'imaginaient que le seul espoir de vaincre l'Outremonde était encore de le comprendre, ce qui explique certainement que les Kuni disposent de connaissances à rendre fou la plupart des hommes.	1
31	FAM0005	1	Toritaka	Jadis on connaissait la minuscule famille Toritaka sous le nom du clan du Faucon, mais une véritable tragédie signa la perte de ce clan Mineur, qui fut alors absorbé par le Crabe pour empêcher la menace de renaître de ses rangs. Les Toritaka viennent d'une région hantée par les esprits et s'y connaissent donc énormément en matière de fantômes de toutes sortes.	1
32	FAM0006	1	Yasuki	En parfaite contradiction avec les autres familles du Crabe, les Yasuki apparaissent comme frêles et minces, et quelque peu retors. Ils faisaient autrefois partie du clan de la Grue, mais ont rejoins le Crabe au IIIe siècle, provoquant ainsi la première grande guerre intestine de l'histoire de Rokugan. Ces marchands et courtisans ne désirent qu'offrir un avantage de taille à leur clan. Ils s'intéressent d'avantage aux bénéfices financiers que les autres représentants de la caste des samurai, au point d'en devenir parfois inconvenants.	1
33	FAM0007	1	Kitsuki	Les très perspicaces Kitsuki servent le clan du Dragon en qualité de magistrats, rôle qui leur convient au mieux, mais aussi de représentants à la cour. Les Kitsuki ont notamment le chic pour démêler le vrai du faux, atout considérable pour le clan du Dragon toujours désireux d'affranchir l'Empire de la tromperie et de la duplicité.	1
34	FAM0008	1	Mirumoto	Les Mirumoto représentent les épaules sur lesquelles reposent les fardeaux du clan du Dragon. Là où les Togashi recherchent l'illumination, les Mirumoto règnent en quelque sorte sur le clan en supervisant le quotidien tout en constituant l'armée. Regroupant plus de la moitié de la population du clan, les Mirumoto sont les Dragon dont on croise le plus souvent le chemin dans l'Empire.	1
35	FAM0009	1	Tamori	Comptant parmi les familles de shugenja les plus militaristes de l'Empire, les Tamori épousent à bras-le-corps des styles de magie uniques, dont l'alchimie, la forge et un mélange d'arts magiques et martiaux. On redoute beaucoup plus les Tamori que les autres shugenja en raison de leur empressement à user de violence là où d'autres prêtres tourneraient les talons.	1
36	FAM0010	1	Togashi	Les Togashi, qui constituent davantage un ordre monastique qu'une véritable famille, acceptent tous ceux qui souhaitent les rejoindre, pourvu qu'ils soient capables d'appréhender les préceptes de l'ordre et d'en supporter les épreuves, ce qui réduit sérieusement le nombre d'élus. Depuis des siècles, les moines de cet ordre utilisent le sang divin du Kami du Dragon pour créer des tatouages mystiques qui leur confèrent des pouvoirs surnaturels parfaitement stupéfiants.	1
37	FAM0011	1	Asahina	Calmes et sereins, les Asahina comptent parmi les familles de samurai les plus monastiques. Ils se montrent peut-être aussi les plus pacifistes, plus encore que le clan du Phénix, et abhorrent la violence, cherchant d'autres moyens pour résoudre les conflits. Les Asahina sont également connus pour leur attachement à la philosophie et aux arts.	1
38	FAM0012	1	Daidoji	Les soi-disant Grues de Fer forment le bras armé du Clan de la Grue et font en quelque sorte appliquer les volonté des Doji et des Kakita. Ils n'usent pas d'autant de grâce et de style que leurs cousins, préférant de loin la force brute, au point qu'ils s'appuient parfois sur des techniques grossières, voire déshonorantes aux yeux de certains. Daidoji signifie « défenseurs des Doji » et la famille mérite parfaitement ce nom.	1
39	FAM0013	1	Doji	Seigneurs du Clan de la Grue, les Doji règnent en maîtres incontestés sur la culture et la politique dans l'Empire. Cela prouve leur ingéniosité et leur influence, d'autant que le clan est assailli depuis mille ans par des clans beaucoup plus militaristes qui trouvent sa domination à la cour particulièrement pénible.	1
40	FAM0014	1	Kakita	Regroupant les cousins directs des Doji, la famille Kakita fut fondée par les enfants de dame Doji et de son époux Kakita à l'aube de l'Empire. Les Kakita sont intimement persuadés que chacun doit exceller dans le domaine de son choix, qu'il s'agisse de guerroyer ou de produire les plus magnifiques œuvres d'art. A l'instar des autres familles du Clan de la Grue, les Kakita possèdent entre autre atout leur beauté physique.	1
41	FAM0015	1	Horiuchi	La minuscules famille Horiuchi n'a jamais abrité plus de quelques dizaines de membres à la fois. Créés quelques années avant la Guerre des Clans, ces samurai constituent une branche de la famille Iuchi spécialisée en magie défensive. Compatissants, les samurai Horiuchi ont tendance à n'intervenir dans les affaires d'autrui qu'en tant de crise.	1
42	FAM0016	1	Ide	Les Ide, Que l'on pourrait appeler en quelque sorte le visage du clan de la Licorne, œuvrent inlassablement pour lutter contre l'impression qu'ont certains que leur Clan n'est qu'un ramassis de barbares et de gaijin. Ils mêlent parfaitement les traditions de leur peuple aux coutumes de l'Empire et cherchent à gagner le respect et l'acceptation des autres clans. Les samurai de la famille Ide apparaissent le plus souvent placides et prêts à nouer des alliances avec autrui, qu'elles soient personnelles ou d'envergure.	1
43	FAM0017	1	Iuchi	A l'exception des Tamori, la famille Iuchi regroupe sans doute les shugenja les plus militants de l'Empire. Ils servent dans les armées du Clan de la Licorne en grand nombre. S'ils apprécient l'amitié et les débats savants comme tous les prêtres, ils ne fuient pas les conflits qui s'opposent à eux.	1
44	FAM0018	1	Moto	Les Moto incarnent tous les stéréotypes négatifs auxquels le Clan de la Licorne doit faire face depuis son retour dans l'Empire, il y a des siècles. Plus que toute autre famille, leur sang gaijin saute aux yeux car ils sont petits et trapus. Selon les circonstances, ils peuvent se montrer brusques et tapageurs, si bien qu'ils cadrent rarement avec les samurai d'autres Clans. Toutefois, on les respecte pour leurs traditions martiales.	1
45	FAM0019	1	Shinjo	Les famille Shinjo a régné sur le Clan de la Licorne pendant la majeure partie de son histoire, mais elle fut démise de ses fonctions par se fondatrice, le Kami Shinjo, en raison de la corruption qui sévissait dans ses rangs. Les Shinjo se montrent affables et travailleurs. Ils s'adaptent facilement aux tâches qu'on leur confie et collaborent parfaitement avec autrui quelle que soit la situation.	1
46	FAM0020	1	Utaku	Matriarcale, la famille Utaku est constituée d'individus pieux et honorables aux devoirs soigneusement définis en fonction de leur sexe. Les femmes se chargent généralement de servir au sein de la meilleure unité de cavalerie du monde, les Vierges de Bataille Utaku, tandis que les hommes gèrent le foyer et servent dans les légions de fantassins de l'armée de la Licorne.	1
47	FAM0021	1	Akodo	Seigneurs du clan du Lion, les Akodo sont les maîtres incontestés des champs de bataille de l'Empire. On dit que nulle armée menée par un Akodo n'a jamais connu la défaite. Bien qu'il s'agisse là d'une exagération, la vérité s'en rapproche fortement. Les samurai Akodo sont généralement calmes et analytiques, dénués de la férocité si communément associée aux Lions en général.	1
48	FAM0022	1	Ikoma	Porte-parole du Clan du Lion, les Ikoma parlent au nom du Clan à la cour et dans les annales historiques. La famille produit non seulement la majorité des courtisans du Clan, mais également ses historiens et conteurs, rôles que le Clan considère de la plus haute importance. Pour chaque Lion parfaitement stoïque qui refuse de se laisser submerger par ses émotions, il y a un barde Ikoma qui pleure sans se cacher en contant les récits des siens.	1
49	FAM0023	1	Kitsu	Calmes et réservés, les Kitsu sont les shugenja les plus traditionnels et conservateurs de l'Empire, les plus surannés aux dires de certains. Issus de l'union d'hommes et de Kitsu quasiment anéantis par les Lion à l'aube de l'Empire, les Kitsu abritent plusieurs lignées distinctes aux pouvoirs surnaturels et étranges, comme la faculté de passer du monde des mortels aux royaumes des esprits.	1
50	FAM0024	1	Matsu	Les Matsu constituent la plus vaste famille de tout l'Empire et sont à l'origine de l'image que beaucoup ont des incroyables légions du Clan du Lion. Ils forment aussi le stéréotype tempétueux souvent associé aux Lion, réputation largement fondée. Les Matsu se montrent farouches, soupe au lait et prêts à en découdre en permanence. Leur famille fut fondée par une femme, Matsu, et dispose d'une unité exclusivement constituée de femmes, la Fierté du Lion.	1
51	FAM0025	1	Kitsune	Jadis connus sous le nom de Clan du Renard, les Kitsune ont rejoint le Clan de la Mante plusieurs décennies après que les autres familles l'aient fondé. Les Renard se trouvaient proches de l'annihilation et les Yoritomo voulurent bien les sauver en échange de leur allégeance. Les Kitsune, gens simples et discrets, préfèrent communier avec les esprits de la nature dans les forêts plutôt que de parcourir l'Empire.	1
52	FAM0026	1	Moshi	Avant que les Mante ne rejoignent les Clans Majeurs, les Moshi constituaient le clan du Mille-pattes. Communauté dévouée et matriarcale, les Moshi se tournent vers le culte du Soleil depuis des siècles et trouvent le rôle qu'ils jouent parmi les autres familles de la Mante quelque peu inconfortable. Cependant, la famille a prêté allégeance aux Yoritomo et refuse de revenir sur sa parole, alors même que ses devoirs entrent en conflit avec sa philosophie.	1
53	FAM0027	1	Tsuruchi	Ancien Clan de la Guêpe, les Tsuruchi sont de loin les meilleurs archers de l'Empire et font tout pour conserver cette place. Athlétiques et doués d’impressionnantes capacités de perception, ils forment de grands guerriers et des magistrats redoutés.	1
54	FAM0028	1	Yorimoto	Les seigneurs de la Mante sont originaires du Clan du Crabe et aussi hardis à leur façon. Maîtres incontestés des océans, ils vivent depuis toujours sur les îles des Épices et de la Soie. Les Yoritomo sont des gens robustes et travailleurs toujours prêts à faire leurs preuves face aux autres Clans Majeurs.	1
55	FAM0029	1	Agasha	Ancienne famille du Clan du Dragon, les Agasha abandonnèrent leurs maîtres Togashi lorsqu'ils eurent le sentiment que les Dragon s'étaient détournés de leurs devoirs envers l'Empire. En outre, les Phénix ont montré un intérêt certain à leur type de magie. Les Agasha à la curiosité insatiable expérimentent sans cesse, repoussant les frontières connues et de ce qui peut être tenté en toute sécurité en matière de magie.	1
56	FAM0030	1	Asako	Discrets et solitaires, les Asako constituent de toute évidence une famille monastique. Ils mènent une vie ascète et érudite qui sied davantage à la confrérie de Shinsei qu'à une famille de samurai. Leurs rangs abritent la majorité des courtisans du Clan du Phénix et l'intégralité des mystérieux moines Henshin. Les Asako, curieux et contemplatifs, n'ont généralement pour seules ambitions que de servir et d'apprendre.	1
57	FAM0031	1	Isawa	malgré le présence d'un Champion de Clan Shiba, ce sont bien les Isawa qui règnent sur le Clan du Phénix. Ils constituent d'ailleurs la plus importante, la plus puissante et la plus érudite des familles de shugenja de l'Empire. Malheureusement, ce statut les rend arrogants, si bien que de nombreux Isawa luttent constamment contre leurs propres défauts.	1
58	FAM0032	1	Shiba	Les Shiba comptent parmi les plus érudits et les moins agressifs des familles de bushi. Ils servent le Clan et les Isawa sans se plaindre ni songer à leurs propres personnes. Bien qu'ils admirent la paix et la compassion, ils ne fuient jamais un combat dès lors que le Clan du Phénix a contracté un engagement.	1
59	FAM0033	1	Bayushi	Impitoyables et fourbes, les seigneurs du Clan du Scorpion ont de nombreux talents qu'ils mettent au service de leur Clan et de leur Empereur. Les Bayushi se montrent dangereux, sombres et manipulateurs, évaluant toujours la situation en fonction de ce qu'ils peuvent en tirer pour eux-même et leur Clan.	1
60	FAM0034	1	Shosuro	Les Shosuro vivent dans les ombres et se font rarement voir, mais ils ont une influence énorme sur ceux qui les entourent. Secrets et reclus, ils ne parlent pas de leurs projets, mais ne manquent jamais d'obéir à un ordre émanant de leurs seigneurs Bayushi. Quant le Clan du Scorpion souhaite qu'une tâche soit menée à bien sans la moindre complication, on contacte un Shosuro.	1
61	FAM0035	1	Soshi	Les Soshi constituent la principale famille de shugenja du Clan du Scorpion fondée aux premières heures du Clan. Ils se spécialisent en magie soutenant les efforts des leurs en matière de politique, de supercherie et de manipulation. Ils collaborent étroitement avec les Shosuro, utilisant leur magie pour accentuer leur nature implacable et soutenir leurs activités secrètes.	1
62	FAM0036	1	Yogo	Aucune famille reconnue des Clans Majeurs n'est plus redoutée ou méprisée que les Yogo, la seconde famille de shugenja du Clan du Scorpion. Ils descendent d'un Phénix maudit aux premiers jours de l'Empire pour avoir trahi celle qu'il chérissait le plus. La malédiction s'est transmise de génération en génération au sein de la famille, au point que beaucoup en évitent les membres. Les Yogo ne prêtent aucune attention à leur réputation et mettent leur puissante magie au service des Scorpion, quelle que soit la considération qu'on leur offre.	1
63	FAM0037	1	Chuda	Héritiers spirituels de la premières famille Chuda, balayée il y a des siècles, les Chuda regroupent des maho-tsukai ambitieux et affamés de pouvoir qui explorent les secrets de la magie du sang. Leurs allégeances demeurent toujours suspectes car ils ont changé de maîtres en plusieurs occasions dans le passé.	1
64	FAM0038	1	Daigotsu	Les seigneurs de l'Araignée constituent de la plus vaste famille du Clan. Un grand nombre de samurai de tous horizons ayant succombé à la Souillure de l'Outremonde ou au culte de Fu Leng embrassent la philosophie et les méthodes du Sombre Seigneur Daigotsu et exécutent ses ordres sans la moindre considération pour leurs anciens parents ou alliés. Tous les Daigotsu ne portent pas la Souillure, mais beaucoup d'entre eux ont senti la sinistre caresse de Jigoku.	1
65	FAM0039	1	Goju	Ceux qui portent le nom de Goju n'appartiennent assurément plus au genre humain. Ils servaient jadis l'entité appelée l'Ombre Rampante et n'étaient rien de plus que de simples extensions de sa volonté. Depuis la destruction de cette sinistre entité, ils servent tout naturellement son successeur, le Dragon de l'Ombre, et ont recouvert une partie de leur individualité, même s'il ne s'agit toujours que de monstres sans visage ni âme la plupart du temps.	1
66	FAM0040	1	Moines de l'araignée	Les plus étrange agents du Clan de l'Araignée sont les moines de l'Ordre de l'Araignée. Beaucoup d'entre eux n'ont jamais succombé à la Souillure de l'Outremonde, mais se tournent vers la philosophie du Clan de l'Araignée car elle colle parfaitement avec leur soif de pouvoir personnel et leurs démonstrations de force.	1
67	FAM0041	1	Miya	A l'aube de l'Empire, Miya reçut la tâche de diffuser la nouvelle de la défaite de Fu Leng au travers de Rokugan. Depuis, la famille Miya remplit ce devoir et regroupe de nombreux hérauts et médiateurs de la paix qui œuvrent avec diligence et fierté. Les samurai Miya se montrent généralement graves, calmes et attachés à assumer leurs responsabilités.	1
68	FAM0042	1	Otomo	On prononce généralement le nom de la famille Otomo avec un soupçon de peur, un sentiment facile à comprendre à Rokugan. Les Otomo, prédateurs terrifiants des cours de l'Empire, profitent pleinement de l'avantage que leur offre leur position. Manipulateurs et pourvus d'une intelligence diabolique, ils semblent n'avoir aucun remord à anéantir leurs adversaires, que ce soir verbalement ou politiquement. On dit que la cour est le champ de bataille le plus mortel, un adage que les Otomo prouvent avec joie au quotidien. Les membres de la famille royale qui ne montrent pas sur le trône renoncent souvent à leur nom de famille pour rejoindre les Otomo.	1
69	FAM0043	1	Seppun	L'un des plus fidèles serviteurs de Hantei se nommait Seppun et sa famille, aujourd'hui encore, se trouve au plus près de la lignée impériale. Les samurai Seppun se consacrent au bien-être de l'Empire et s'acquittent de tous les devoirs nécessaires pour maintenir le statu quo, du point de vue bureaucratique mais aussi au beau milieu des champs de bataille. Les membres de la famille royale qui ne montent pas sur le trône renoncent parfois à leur nom de famille pour rejoindre les Seppun, même s'ils préfèrent le plus souvent rallier les Otomo.	1
70	FAM0044	1	Hantei	Descendants du premier Hantei (quel que soit le nombre de générations les séparants), les membres de la lignée Hantei ont un destin grandiose et excellent dans n’importe quel domaine pourvu qu’ils aient la volonté nécessaire.	1
71	FAM0045	1	Toturi	Les chefs de la dynastie Toturi récompensèrent leurs plus fidèles héros en leur remettant le nom de Toturi. Ainsi, la famille se compose de tous ceux qui ont fait preuve de courage et de talent. Seuls une douzaine de guerriers portent le nom de Toturi à un même moment, et chacun a le potentiel de devenir l’un des leaders de sa génération.	1
72	FAM0046	1	Ichiro	les Ichiro se montrent impolis et grossiers avec le reste de l'Empire. Ils préfèrent l'action aux belles paroles, le pragmatisme aux mondanités. Généralement trapus, ils doivent à leur vie de montagnard d'accentuer cette caractéristique physique.	1
73	FAM0047	1	Morito	L'ambition des samurai de la famille Morito à se faire un nom attira rapidement l'attention du kolat, qui les accepta en son sein au titre de bourreaux et de guerriers. En dehors des terres des Licornes, les Morito n'ont pas d'égal en selle. De plus, ils restent attentifs aux rumeurs qui circulent au sein de la pègre rokugani et cherchent constamment à étendre leur influence.	1
